text,label,notes,llm_label,pre_labeled,llm_confidence,id,favorite_count,retweet_count
The starting 5 are showing off their skills!! @cavs have dominated the first quarter. @espn #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004535815094132736,0,0
Steph Curry in the post like... #Cavs #nba #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.8,1004540418711621632,0,0
What's Kevin Durant's nickname again? Soft Baby Bad-actor #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.95,1004542138770706434,0,0
Only reason I'm watching the #NBAFinals cause I want to see #JRSmith #dunk on someone #head,Hype & Support,,Hype & Support,True,0.85,1004539224186609664,0,0
HOW YOU JUST GON LET @KingJames OOP ON YOU LIKE THAT?!?!! GOOD GOD!!! #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004532693701398528,0,0
Isn't it amazing how much better a team can look at home compared to on the road? #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.85,1004532953475674112,0,0
Draymond should be thrown out with that yelling! #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004535197289730048,0,0
In case you're wondering what's happening on @LeBatardShow #NBAFinals,Hype & Support,,Hype & Support,True,0.6,1004536906955345920,0,0
Can I shamelessly plug by kid's book Shootin' Hoops With Dad durning the #NBAFinals? I mean Lebron James and Steph.,Hype & Support,,Hype & Support,True,0.7,1004541887297007619,0,0
@christuckerreal New scene from Last Friday movie! @icecube #NBAFinals,Hype & Support,,Hype & Support,True,0.65,1004542448385720320,0,0
That's a travel in FIBA #NBAfinals live,Officiating Complaint,,Officiating Complaint,True,0.9,1004532649321517056,0,0
Thank you @KingJames for being who you are. #NBAFinals,Hype & Support,,Hype & Support,True,0.95,1004533804567056390,0,0
What's up klay ????????? #DubNation? ? #Warriors #GSW #NBAFinals? ?,Hype & Support,,Hype & Support,True,0.98,1004536768924934145,0,0
Oh boy... this is gonna be a good game #NBAonABC #NBAFinals,Hype & Support,,Hype & Support,True,0.8,1004540339300864000,0,0
Game got tied up real quick. #NBAFinals,Hype & Support,,Hype & Support,True,0.7,1004537756616417281,0,0
The @NBA defintely doesn't want kids watching basketball. #NBAFinals,Criticism & Trash Talk,,Criticism & Trash Talk,True,0.85,1004535924586434561,0,0
Cavs 29 Warriors 28. We survived their adrenaline wave and took their best shot. Let's win this #DubNation #NBAFinals,Game/Tactical Analysis,,Game/Tactical Analysis,True,0.9,1004538617115627520,0,0
"I'm officially just rooting for Draymond to pick up two more T's in this series, get suspended and subsequently cos.",Criticism & Trash Talk,,Criticism & Trash Talk,True,0.8,1004537307024642054,0,0
No one can stop Lebron James when he is full speed heading towards the basket! #Fact #NBAFinals,Hype & Support,,Hype & Support,True,0.9,1004540290554912769,0,0
